#,Clubes,Despesas,Entradas,Receitas,Sai­das,Saldo
1,Chelsea ,96.45,28,32.4,27,-64.05
2,Man City ,91.05,37,31.2,40,-59.85
3,Liverpool ,66.53,24,22.9,19,-43.63
4,Arsenal ,65.48,41,78.29,30,12.82
5,Man United ,62.3,23,14.47,24,-47.84
6,Sunderland ,28.25,37,26.33,33,-1.93
7,QPR ,26.23,45,2.8,43,-23.43
8,Newcastle ,26.05,32,16.04,30,-10.01
9,Stoke ,24.8,26,1.99,27,-22.82
10,Blackburn ,20.55,27,40.25,28,19.7
11,Aston Villa ,20.34,21,43.75,27,23.41
12,Fulham ,18.35,23,7.67,16,-10.68
13,Bolton ,15.6,25,16.33,23,0.73
14,Norwich ,15.25,22,0.5,21,-14.75
15,Swansea ,12.85,23,455,22,-12.4
16,Wigan ,12.38,26,11.29,16,-1.09
17,Wolves ,12.05,34,2.6,34,-9.45
18,Tottenham ,9.45,44,43.25,38,33.8
19,West Brom ,9.08,32,11.12,32,2.04
20,Everton ,7.2,21,26.8,19,19.6
