#,Clubes,Despesas,Entradas,Receitas,Saídas,Saldo
1,Chelsea FC,"130,35 M €",53,"77,43 M €",37,"-52,92 M €"
2,Tottenham Hotspur,"121,88 M €",32,"135,43 M €",30,"13,55 M €"
3,Manchester City FC,"116,00 M €",19,"11,30 M €",20,"-104,70 M €"
4,Manchester United FC,"77,13 M €",29,"1,80 M €",27,"-75,33 M €"
5,FC Liverpool,"58,10 M €",27,"32,60 M €",28,"-25,50 M €"
6,FC Arsenal,"49,25 M €",28,"12,15 M €",28,"-37,10 M €"
7,Cardiff City,"45,82 M €",35,"3,74 M €",29,"-42,08 M €"
8,FC Southampton,"39,60 M €",22,"4,20 M €",25,"-35,40 M €"
9,AFC Sunderland,"33,91 M €",41,"22,38 M €",36,"-11,53 M €"
10,Crystal Palace FC,"33,00 M €",47,-,35,"-33,00 M €"
11,FC Everton,"31,80 M €",19,"46,10 M €",21,"14,30 M €"
12,Hull City,"31,10 M €",33,880 mil €,32,"-30,22 M €"
13,Norwich City,"30,05 M €",22,"4,84 M €",25,"-25,22 M €"
14,FC Fulham,"29,50 M €",36,"4,15 M €",33,"-25,35 M €"
15,Swansea City AFC,"26,71 M €",25,-,21,"-26,71 M €"
16,West Ham United,"24,00 M €",23,530 mil €,22,"-23,47 M €"
17,Aston Villa FC,"19,84 M €",32,"8,10 M €",29,"-11,74 M €"
18,West Bromwich Albion,"15,70 M €",16,"11,40 M €",21,"-4,30 M €"
19,Stoke City,"7,00 M €",22,-,20,"-7,00 M €"
20,Newcastle United,"3,80 M €",18,"25,87 M €",19,"22,07 M €"
