#,Clubes,Despesas,Entradas,Receitas,Saídas,Saldo
1,Chelsea FC,"210,00 M €",38,"61,75 M €",30,"-148,25 M €"
2,FC Liverpool,"182,20 M €",15,"39,60 M €",16,"-142,60 M €"
3,FC Fulham,"116,50 M €",21,"4,50 M €",16,"-112,00 M €"
4,Leicester City FC,"114,60 M €",22,"95,80 M €",19,"-18,80 M €"
5,Wolverhampton Wanderers,"112,25 M €",42,"23,05 M €",47,"-89,20 M €"
6,West Ham United,"105,35 M €",21,"14,87 M €",15,"-90,49 M €"
7,FC Everton,"99,80 M €",27,"28,65 M €",25,"-71,15 M €"
8,Bournemouth AFC,"89,10 M €",17,"20,20 M €",17,"-68,90 M €"
9,Brighton Albion,"86,16 M €",31,"13,40 M €",27,"-72,76 M €"
10,Manchester United FC,"82,70 M €",10,"30,55 M €",10,"-52,15 M €"
11,FC Arsenal,"81,50 M €",19,"6,90 M €",14,"-74,60 M €"
12,Manchester City FC,"77,09 M €",27,"54,10 M €",21,"-22,99 M €"
13,FC Southampton,"62,25 M €",21,"23,80 M €",19,"-38,45 M €"
14,Newcastle United,"59,75 M €",22,"47,98 M €",23,"-11,77 M €"
15,Cardiff City,"51,20 M €",17,-,18,"-51,20 M €"
16,Huddersfield Town,"50,70 M €",17,"12,33 M €",19,"-38,37 M €"
17,FC Burnley,"33,00 M €",10,"8,00 M €",11,"-25,00 M €"
18,FC Watford,"30,10 M €",32,"51,84 M €",23,"21,74 M €"
19,Crystal Palace FC,"11,85 M €",15,350 mil €,18,"-11,50 M €"
20,Tottenham Hotspur,-,5,"5,35 M €",4,"5,35 M €"
