#,Clubes,Despesas,Entradas,Receitas,Saídas,Saldo
1,Manchester City FC,"317,50 M €",40,"91,35 M €",34,"-226,15 M €"
2,Chelsea FC,"260,60 M €",45,"200,60 M €",30,"-60,00 M €"
3,FC Everton,"203,20 M €",28,"126,48 M €",21,"-76,72 M €"
4,Manchester United FC,"198,40 M €",14,"45,50 M €",11,"-152,90 M €"
5,FC Liverpool,"173,88 M €",15,"194,50 M €",14,"20,62 M €"
6,FC Arsenal,"152,85 M €",17,"156,20 M €",17,"3,35 M €"
7,Tottenham Hotspur,"121,50 M €",15,"103,80 M €",11,"-17,70 M €"
8,Leicester City FC,"87,85 M €",19,"47,90 M €",15,"-39,95 M €"
9,Swansea City AFC,"73,39 M €",24,"81,10 M €",25,"7,72 M €"
10,FC Watford,"71,40 M €",36,"16,74 M €",30,"-54,66 M €"
11,Brighton Albion,"64,50 M €",25,-,21,"-64,50 M €"
12,FC Southampton,"61,25 M €",13,"98,35 M €",14,"37,10 M €"
13,Stoke City,"57,70 M €",19,"35,14 M €",18,"-22,56 M €"
14,West Ham United,"56,80 M €",18,"69,02 M €",23,"12,22 M €"
15,Huddersfield Town,"56,75 M €",24,"5,86 M €",20,"-50,90 M €"
16,West Bromwich Albion,"53,50 M €",13,"2,05 M €",10,"-51,45 M €"
17,Crystal Palace FC,"48,95 M €",16,"3,00 M €",20,"-45,95 M €"
18,Newcastle United,"44,30 M €",30,"19,52 M €",30,"-24,78 M €"
19,FC Burnley,"35,74 M €",18,"50,00 M €",19,"14,26 M €"
20,Bournemouth AFC,"34,30 M €",19,-,16,"-34,30 M €"
