#,Clubes,Despesas,Entradas,Receitas,Saídas,Saldo
1,Manchester City FC,"183,61 M €",38,"37,15 M €",28,"-146,46 M €"
2,Chelsea FC,"121,50 M €",26,"16,50 M €",23,"-105,00 M €"
3,FC Liverpool,"97,53 M €",29,"101,50 M €",26,"3,98 M €"
4,Aston Villa FC,"37,40 M €",23,"28,40 M €",22,"-9,00 M €"
5,Manchester United FC,"29,30 M €",28,"17,32 M €",26,"-11,99 M €"
6,AFC Sunderland,"29,10 M €",32,"41,78 M €",33,"12,68 M €"
7,Tottenham Hotspur,"26,60 M €",50,"2,94 M €",40,"-23,67 M €"
8,Birmingham City FC,"25,60 M €",26,175 mil €,23,"-25,43 M €"
9,FC Arsenal,"23,00 M €",26,"8,10 M €",25,"-14,90 M €"
10,Stoke City,"21,10 M €",27,"6,78 M €",24,"-14,33 M €"
11,Wolverhampton Wanderers,"20,22 M €",34,"6,44 M €",32,"-13,78 M €"
12,West Ham United,"15,83 M €",19,"4,95 M €",21,"-10,88 M €"
13,Newcastle United,"13,98 M €",24,"41,75 M €",18,"27,77 M €"
14,West Bromwich Albion,"13,83 M €",32,850 mil €,28,"-12,98 M €"
15,Wigan Athletic,"11,40 M €",26,"3,40 M €",21,"-8,00 M €"
16,FC Fulham,"11,05 M €",16,"12,61 M €",23,"1,56 M €"
17,Blackpool FC,"5,73 M €",28,700 mil €,24,"-5,03 M €"
18,Bolton Wanderers,"5,40 M €",19,"1,40 M €",19,"-4,00 M €"
19,Blackburn Rovers FC,"5,05 M €",30,275 mil €,30,"-4,78 M €"
20,FC Everton,"1,70 M €",15,"6,60 M €",14,"4,90 M €"
