#,Clubes,Despesas,Entradas,Receitas,Saídas,Saldo
1,Chelsea FC,"109,70 M €",39,"25,45 M €",29,"-84,25 M €"
2,Manchester United FC,"76,45 M €",26,"10,88 M €",22,"-65,57 M €"
3,Tottenham Hotspur,"73,25 M €",38,"72,78 M €",37,-470 mil €
4,FC Liverpool,"70,60 M €",22,"10,45 M €",19,"-60,15 M €"
5,Manchester City FC,"61,95 M €",27,"44,30 M €",28,"-17,65 M €"
6,FC Arsenal,"56,00 M €",25,"65,85 M €",20,"9,85 M €"
7,Queens Park Rangers,"50,35 M €",46,"4,52 M €",46,"-45,84 M €"
8,FC Southampton,"41,50 M €",33,-,26,"-41,50 M €"
9,AFC Sunderland,"38,30 M €",29,"14,83 M €",32,"-23,48 M €"
10,Newcastle United,"31,97 M €",22,"14,80 M €",23,"-17,17 M €"
11,Aston Villa FC,"27,83 M €",20,"3,20 M €",14,"-24,63 M €"
12,West Ham United,"23,90 M €",26,"5,05 M €",30,"-18,85 M €"
13,Stoke City,"23,68 M €",24,640 mil €,24,"-23,04 M €"
14,FC Everton,"21,65 M €",13,"18,75 M €",14,"-2,90 M €"
15,Swansea City AFC,"20,47 M €",21,"32,60 M €",24,"12,13 M €"
16,Norwich City,"11,08 M €",30,380 mil €,28,"-10,70 M €"
17,FC Reading,"10,82 M €",34,900 mil €,27,"-9,92 M €"
18,Wigan Athletic,"10,54 M €",24,"13,25 M €",27,"2,72 M €"
19,FC Fulham,"10,00 M €",32,"31,42 M €",35,"21,42 M €"
20,West Bromwich Albion,"5,00 M €",19,"3,73 M €",23,"-1,28 M €"
