#,Clubes,Despesas,Entradas,Receitas,Sai­das,Saldo
1,Man City ,183.61,38,37.15,28,-146.46
2,Chelsea ,121.5,26,16.5,23,-105
3,Liverpool ,97.53,29,101.5,26,3.98
4,Aston Villa ,37.4,23,28.4,22,-9
5,Man United ,29.3,28,17.32,26,-11.99
6,Sunderland ,29.1,32,41.78,33,12.68
7,Tottenham ,26.6,50,2.94,40,-23.67
8,Birmingham ,25.6,26,175,23,-25.43
9,Arsenal ,23,26,8.1,25,-14.9
10,Stoke ,21.1,27,6.78,24,-14.33
11,Wolves ,20.22,34,6.44,32,-13.78
12,West Ham ,15.83,19,4.95,21,-10.88
13,Newcastle ,13.98,24,41.75,18,27.77
14,West Brom ,13.83,32,0.85,28,-12.98
15,Wigan ,11.4,26,3.4,21,-8
16,Fulham ,11.05,16,12.61,23,1.56
17,Blackpool ,5.73,28,0.7,24,-5.03
18,Bolton ,5.4,19,1.4,19,-4
19,Blackburn ,5.05,30,275,30,-4.78
20,Everton ,1.7,15,6.6,14,4.9
