#,Clubes,Despesas,Entradas,Receitas,Saídas,Saldo
1,Manchester City FC,"147,30 M €",31,"30,95 M €",30,"-116,35 M €"
2,Aston Villa FC,"46,90 M €",26,"22,10 M €",19,"-24,80 M €"
3,AFC Sunderland,"46,10 M €",27,"21,28 M €",30,"-24,83 M €"
4,FC Liverpool,"43,50 M €",24,"48,55 M €",26,"5,05 M €"
5,Tottenham Hotspur,"40,30 M €",41,"31,70 M €",37,"-8,60 M €"
6,Chelsea FC,"30,00 M €",23,"3,80 M €",18,"-26,20 M €"
7,Manchester United FC,"27,40 M €",23,"104,47 M €",21,"77,07 M €"
8,Stoke City,"26,05 M €",26,"6,50 M €",25,"-19,55 M €"
9,FC Everton,"23,30 M €",17,"28,34 M €",17,"5,04 M €"
10,West Ham United,"21,65 M €",24,"41,30 M €",26,"19,65 M €"
11,Birmingham City FC,"20,05 M €",28,400 mil €,29,"-19,65 M €"
12,Wolverhampton Wanderers,"19,45 M €",34,870 mil €,29,"-18,58 M €"
13,Wigan Athletic,"18,44 M €",21,"26,08 M €",20,"7,65 M €"
14,Hull City,"14,85 M €",24,"16,20 M €",27,"1,35 M €"
15,FC Burnley,"13,54 M €",33,90 mil €,20,"-13,45 M €"
16,Blackburn Rovers FC,"13,28 M €",39,"36,65 M €",35,"23,37 M €"
17,FC Arsenal,"12,00 M €",22,"47,70 M €",16,"35,70 M €"
18,Bolton Wanderers,"12,00 M €",25,"2,00 M €",17,"-10,00 M €"
19,FC Portsmouth,"10,56 M €",35,"52,05 M €",40,"41,49 M €"
20,FC Fulham,"7,11 M €",27,-,26,"-7,11 M €"
