#,Clubes,Despesas,Entradas,Receitas,Sai­das,Saldo
1,Man City ,147.3,31,30.95,30,-116.35
2,Aston Villa ,46.9,26,22.1,19,-24.8
3,Sunderland ,46.1,27,21.28,30,-24.83
4,Liverpool ,43.5,24,48.55,26,5.05
5,Tottenham ,40.3,41,31.7,37,-8.6
6,Chelsea ,30,23,3.8,18,-26.2
7,Man United ,27.4,23,104.47,21,77.07
8,Stoke ,26.05,26,6.5,25,-19.55
9,Everton ,23.3,17,28.34,17,5.04
10,West Ham ,21.65,24,41.3,26,19.65
11,Birmingham ,20.05,28,0.4,29,-19.65
12,Wolves ,19.45,34,870,29,-18.58
13,Wigan ,18.44,21,26.08,20,7.65
14,Hull ,14.85,24,16.2,27,1.35
15,Burnley ,13.54,33,0.09,20,-13.45
16,Blackburn ,13.28,39,36.65,35,23.37
17,Arsenal ,12,22,47.7,16,35.7
18,Bolton ,12,25,2,17,-10
19,Portsmouth ,10.56,35,52.05,40,41.49
20,Fulham ,7.11,27,0,26,-7.11
