#,Clubes,Despesas,Entradas,Receitas,Sai­das,Saldo
1,Chelsea ,"109,7",39,"25,45",29,"-84,25"
2,Man United ,"76,45",26,"10,88",22,"-65,57"
3,Tottenham ,"73,25",38,"72,78",37,"-0,47"
4,Liverpool ,"70,6",22,"10,45",19,"-60,15"
5,Man City ,"61,95",27,"44,3",28,"-17,65"
6,Arsenal ,56,25,"65,85",20,"9,85"
7,QPR ,"50,35",46,"4,52",46,"-45,84"
8,Southampton ,"41,5",33,0,26,"-41,5"
9,Sunderland ,"38,3",29,"14,83",32,"-23,48"
10,Newcastle ,"31,97",22,"14,8",23,"-17,17"
11,Aston Villa ,"27,83",20,"3,2",14,"-24,63"
12,West Ham ,"23,9",26,"5,05",30,"-18,85"
13,Stoke ,"23,68",24,"0,64",24,"-23,04"
14,Everton ,"21,65",13,"18,75",14,"-2,9"
15,Swansea ,"20,47",21,"32,6",24,"12,13"
16,Norwich ,"11,08",30,"0,38",28,"-10,7"
17,Reading ,"10,82",34,"0,9",27,"-9,92"
18,Wigan ,"10,54",24,"13,25",27,"2,72"
19,Fulham ,10,32,"31,42",35,"21,42"
20,West Brom ,5,19,"3,73",23,"-1,28"
