#,Clubes,Despesas,Entradas,Receitas,Saidas,Saldo
1,Chelsea ,130.35,53,77.43,37,-52.92
2,Tottenham ,121.88,32,135.43,30,13.55
3,Man City ,116,19,11.3,20,-104.7
4,Man United ,77.13,29,1.8,27,-75.33
5,Liverpool ,58.1,27,32.6,28,-25.5
6,Arsenal ,49.25,28,12.15,28,-37.1
7,Cardiff ,45.82,35,3.74,29,-42.08
8,Southampton ,39.6,22,4.2,25,-35.4
9,Sunderland ,33.91,41,22.38,36,-11.53
10,Crystal Palace ,33,47,0,35,-33
11,Everton ,31.8,19,46.1,21,14.3
12,Hull ,31.1,33,0.88,32,-30.22
13,Norwich ,30.05,22,4.84,25,-25.22
14,Fulham ,29.5,36,4.15,33,-25.35
15,Swansea ,26.71,25,-,21,-26.71
16,West Ham ,24,23,0.53,22,-23.47
17,Aston Villa ,19.84,32,8.1,29,-11.74
18,West Brom ,15.7,16,11.4,21,-4.3
19,Stoke ,7,22,0,20,-7
20,Newcastle ,3.8,18,25.87,19,22.07
